region_code,label,count
x156y096,x156y096,"1"
x156y098,x156y098,"1"
x157y096,x157y096,"1"
x157y097,x157y097,"1"
x157y098,x157y098,"1"
x157y099,x157y099,"1"
x158y097,x158y097,"1"
x158y098,x158y098,"1"
x163y095,x163y095,"1"
x163y096,x163y096,"1"
x163y104,x163y104,"1"
x163y105,x163y105,"1"
x164y091,x164y091,"1"
x164y092,x164y092,"1"
x164y093,x164y093,"1"
x164y094,x164y094,"1"
x164y095,x164y095,"1"
x164y096,x164y096,"1"
x164y097,x164y097,"1"
x164y098,x164y098,"1"
x164y099,x164y099,"1"
x164y100,x164y100,"1"
x164y101,x164y101,"1"
x164y102,x164y102,"1"
x164y103,x164y103,"1"
x164y104,x164y104,"1"
x164y105,x164y105,"1"
x164y106,x164y106,"1"
x164y107,x164y107,"1"
x165y091,x165y091,"1"
x165y092,x165y092,"1"
x165y093,x165y093,"1"
x165y094,x165y094,"1"
x165y095,x165y095,"1"
x165y096,x165y096,"1"
x165y097,x165y097,"1"
x165y098,x165y098,"1"
x165y099,x165y099,"1"
x165y100,x165y100,"1"
x165y101,x165y101,"1"
x165y102,x165y102,"1"
x165y103,x165y103,"1"
x165y104,x165y104,"1"
x165y105,x165y105,"1"
x165y106,x165y106,"1"
x165y107,x165y107,"1"
x165y108,x165y108,"1"
x166y090,x166y090,"1"
x166y091,x166y091,"1"
x166y092,x166y092,"1"
x166y093,x166y093,"1"
x166y094,x166y094,"1"
x166y095,x166y095,"1"
x166y096,x166y096,"1"
x166y097,x166y097,"1"
x166y098,x166y098,"1"
x166y099,x166y099,"1"
x166y100,x166y100,"1"
x166y101,x166y101,"1"
x166y102,x166y102,"1"
x166y103,x166y103,"1"
x166y104,x166y104,"1"
x166y105,x166y105,"1"
x166y106,x166y106,"1"
x166y107,x166y107,"1"
x166y108,x166y108,"1"
x166y109,x166y109,"1"
x166y110,x166y110,"1"
x166y111,x166y111,"1"
x167y087,x167y087,"1"
x167y088,x167y088,"1"
x167y089,x167y089,"1"
x167y090,x167y090,"1"
x167y091,x167y091,"1"
x167y092,x167y092,"1"
x167y093,x167y093,"1"
x167y094,x167y094,"1"
x167y095,x167y095,"1"
x167y096,x167y096,"1"
x167y097,x167y097,"1"
x167y098,x167y098,"1"
x167y099,x167y099,"1"
x167y100,x167y100,"1"
x167y101,x167y101,"1"
x167y102,x167y102,"1"
x167y103,x167y103,"1"
x167y104,x167y104,"1"
x167y105,x167y105,"1"
x167y106,x167y106,"1"
x167y107,x167y107,"1"
x167y108,x167y108,"1"
x167y109,x167y109,"1"
x167y110,x167y110,"1"
x167y111,x167y111,"1"
x167y112,x167y112,"1"
x168y086,x168y086,"1"
x168y087,x168y087,"1"
x168y088,x168y088,"1"
x168y089,x168y089,"1"
x168y090,x168y090,"1"
x168y091,x168y091,"1"
x168y092,x168y092,"1"
x168y093,x168y093,"1"
x168y094,x168y094,"1"
x168y095,x168y095,"1"
x168y096,x168y096,"1"
x168y097,x168y097,"1"
x168y098,x168y098,"1"
x168y099,x168y099,"1"
x168y100,x168y100,"1"
x168y101,x168y101,"1"
x168y102,x168y102,"1"
x168y103,x168y103,"1"
x168y104,x168y104,"1"
x168y105,x168y105,"1"
x168y106,x168y106,"1"
x168y107,x168y107,"1"
x168y108,x168y108,"1"
x168y109,x168y109,"1"
x168y110,x168y110,"1"
x168y111,x168y111,"1"
x168y112,x168y112,"1"
x169y085,x169y085,"1"
x169y086,x169y086,"1"
x169y087,x169y087,"1"
x169y088,x169y088,"1"
x169y089,x169y089,"1"
x169y090,x169y090,"1"
x169y091,x169y091,"1"
x169y092,x169y092,"1"
x169y093,x169y093,"1"
x169y094,x169y094,"1"
x169y095,x169y095,"1"
x169y096,x169y096,"1"
x169y097,x169y097,"1"
x169y098,x169y098,"1"
x169y099,x169y099,"1"
x169y100,x169y100,"1"
x169y101,x169y101,"1"
x169y102,x169y102,"1"
x169y103,x169y103,"1"
x169y104,x169y104,"1"
x169y105,x169y105,"1"
x169y106,x169y106,"1"
x169y107,x169y107,"1"
x169y108,x169y108,"1"
x169y109,x169y109,"1"
x169y110,x169y110,"1"
x169y111,x169y111,"1"
x169y112,x169y112,"1"
x169y113,x169y113,"1"
x170y084,x170y084,"1"
x170y085,x170y085,"1"
x170y086,x170y086,"1"
x170y087,x170y087,"1"
x170y088,x170y088,"1"
x170y089,x170y089,"1"
x170y090,x170y090,"1"
x170y091,x170y091,"1"
x170y092,x170y092,"1"
x170y093,x170y093,"1"
x170y094,x170y094,"1"
x170y095,x170y095,"1"
x170y096,x170y096,"1"
x170y097,x170y097,"1"
x170y098,x170y098,"1"
x170y099,x170y099,"1"
x170y100,x170y100,"1"
x170y101,x170y101,"1"
x170y102,x170y102,"1"
x170y103,x170y103,"1"
x170y104,x170y104,"1"
x170y105,x170y105,"1"
x170y106,x170y106,"1"
x170y107,x170y107,"1"
x170y108,x170y108,"1"
x170y109,x170y109,"1"
x170y110,x170y110,"1"
x170y111,x170y111,"1"
x170y112,x170y112,"1"
x170y113,x170y113,"1"
x170y114,x170y114,"1"
x171y083,x171y083,"1"
x171y084,x171y084,"1"
x171y085,x171y085,"1"
x171y086,x171y086,"1"
